3576885,1526344121.18809,e,1,arp,2,192.168.100.1,-1,192.168.100.3,-1,4,240,CON,2,1526345317.18469,9,1195.996582,0.000006,0.000002,0.000011,0.000004,0.000007,2,2,120,120,0.002508,0.000836,0.000836,360,49500,6,825,32,32,0.00501674,0.00334449,85,2,0.00568806,0.00568806,4,6,0,Normal,Normal
3576886,1526344223.19748,e,1,tcp,1,192.168.100.7,139,192.168.100.4,36390,10,680,CON,2,1526345677.14341,10,1453.945923,0.000028,0.000008,0.000138,0.000022,0.000042,5,5,350,330,0.00619,0.002751,0.002751,1766,680,14,10,10,10,0.00687783,0.00687783,1,2,0.00687783,0.00687783,10,10,0,Normal,Normal
3576887,1526344227.02937,e,1,udp,3,192.168.100.149,51838,27.124.125.250,123,2,180,CON,2,1526344227.07794,11,0.048565,0.048565,0,0.048565,0.048565,0.048565,1,1,90,90,20.59096,0,0,11444,180,188,2,843,2,0.552038,41.1819,1,26,41.1819,41.1819,2,4,0,Normal,Normal
3576888,1526344228.31232,e,1,arp,2,192.168.100.4,-1,192.168.100.7,-1,10,510,CON,2,1526345682.39262,12,1454.080322,0.000238,0.000022,0.001189,0.000199,0.000261,5,5,210,300,0.006189,0.002751,0.002751,510,510,10,10,32,32,0.0068772,0.0068772,1,1,0.00568806,0.00568806,10,10,0,Normal,Normal
3576889,1526344302.63634,e,1,udp,3,192.168.100.27,58999,192.168.100.1,53,4,630,CON,2,1526344872.57028,14,569.93396,0.098505,0.08015,0.197011,0.018356,0.178655,2,2,174,456,0.005264,0.001755,0.001755,870,1590,8,20,843,16,0.00701836,0.00701836,4,2,0.00701836,0.0275885,4,4,0,Normal,Normal
3576890,1526344302.81459,e,1,arp,2,192.168.100.1,-1,192.168.100.27,-1,2,120,CON,2,1526344302.81496,15,0.000367,0.000367,0,0.000367,0.000367,0.000367,1,1,60,60,2724.795654,0,0,360,120,6,2,32,32,0.00501674,5449.59,1,2,0.00568806,0.00568806,2,6,0,Normal,Normal
3576891,1526344307.70243,e,1,arp,2,192.168.100.27,-1,192.168.100.1,-1,4,240,CON,2,1526344877.55837,16,569.855957,0.000122,0.000025,0.000243,0.000097,0.000146,2,2,120,120,0.005264,0.001755,0.001755,870,1590,8,20,32,32,0.00701932,0.0053768,4,2,0.00568806,0.00568806,16,4,0,Normal,Normal
3576892,1526344326.43339,e,1,udp,3,192.168.100.150,58360,192.168.217.2,53,2,172,INT,4,1526344328.93349,18,2.500101,0,0,0,0,0,2,0,172,0,0.399984,0.399984,0,704,688,10,8,843,16,1.59514,0.799726,4,3,0.799968,0.0275885,8,2,0,Normal,Normal
3576893,1526344328.39924,e,1,udp,3,192.168.100.149,37214,192.168.217.2,53,2,172,INT,4,1526344330.90034,41,2.501101,0,0,0,0,0,2,0,172,0,0.399824,0.399824,0,11444,688,188,8,843,16,0.552038,0.799726,4,26,0.799648,0.0275885,8,178,0,Normal,Normal
3576894,1526344331.59212,e,1,arp,2,192.168.100.150,-1,192.168.100.1,-1,6,360,CON,2,1526345483.84877,65,1152.256592,0.000091,0.000014,0.000273,0.000075,0.000109,3,3,180,180,0.004339,0.001736,0.001736,704,1590,10,20,32,32,0.00520717,0.0053768,4,3,0.00568806,0.00568806,16,6,0,Normal,Normal
3576895,1526344332.46552,e,1,udp,3,192.168.100.7,138,192.168.100.255,138,4,1086,INT,4,1526345060.83637,104,728.37085,0.000077,0.000016,0.000154,0.000061,0.000093,4,0,1086,0,0.004119,0.004119,0,1766,1086,14,4,843,4,0.00549171,0.00549171,1,2,0.00549171,0.00549171,4,4,0,Normal,Normal
3576896,1526344332.93344,e,1,udp,3,192.168.100.150,57950,8.8.8.8,53,2,172,CON,2,1526344332.94096,107,0.007523,0.007523,0,0.007523,0.007523,0.007523,1,1,86,86,132.925705,0,0,704,344,10,4,843,16,1.59514,262.795,2,3,265.851,0.0275885,4,2,0,Normal,Normal
3576897,1526344330.58607,e,1,udp,3,192.168.100.148,36138,192.168.217.2,53,2,172,INT,4,1526344333.08729,63,2.501218,0,0,0,0,0,2,0,172,0,0.399805,0.399805,0,38872,688,647,8,843,16,0.771515,0.799726,4,63,0.79961,0.0275885,8,647,0,Normal,Normal
3576898,1526344232.03058,e,1,arp,2,192.168.100.149,-1,192.168.100.1,-1,6,360,CON,2,1526345485.66326,13,1253.63269,0.000144,0.000026,0.000432,0.000115,0.000179,3,3,180,180,0.003988,0.001595,0.001595,11444,1590,188,20,32,32,0.00478609,0.0053768,4,26,0.00568806,0.00568806,16,6,0,Normal,Normal
3576899,1526344334.90028,e,1,udp,3,192.168.100.149,34295,8.8.8.8,53,2,172,CON,2,1526344334.90797,1110,0.007698,0.007698,0,0.007698,0.007698,0.007698,1,1,86,86,129.90387,0,0,11444,344,188,4,843,16,0.552038,262.795,2,26,259.808,0.0275885,4,4,0,Normal,Normal
3576900,1526344332.65136,e,1,udp,3,192.168.100.147,43735,192.168.217.2,53,2,172,INT,4,1526344335.15237,106,2.501009,0,0,0,0,0,2,0,172,0,0.399839,0.399839,0,172,688,2,8,843,16,0.799677,0.799726,4,1,0.799677,0.0275885,8,2,0,Normal,Normal
3576901,1526344335.74568,e,1,arp,2,192.168.100.148,-1,192.168.100.1,-1,6,360,CON,2,1526345488.7703,2105,1153.024658,0.000129,0.00005,0.000387,0.000062,0.000183,3,3,180,180,0.004336,0.001735,0.001735,1802,1598,23,22,22,22,0.0052037,0.00693673,7,12,0.009538,0.009538,16,6,0,Normal,Normal
3576902,1526344337.0883,e,1,udp,3,192.168.100.148,35430,8.8.8.8,53,2,172,CON,2,1526344337.09553,2106,0.007226,0.007226,0,0.007226,0.007226,0.007226,1,1,86,86,138.389145,0,0,1802,1720,23,20,200009,68,3.35127,275.179,10,12,276.778,3.11157,20,8,0,Normal,Normal
3576903,1526344337.71485,e,1,arp,2,192.168.100.147,-1,192.168.100.1,-1,6,360,CON,2,1526345491.25152,3081,1153.536621,0.000144,0.000019,0.000431,0.000127,0.00017,3,3,180,180,0.004334,0.001734,0.001734,1802,1598,23,22,22,22,0.0052014,0.00693673,7,12,0.009538,0.009538,16,6,0,Normal,Normal
3576904,1526344338.26157,e,1,udp,3,192.168.100.150,8612,192.168.100.255,8612,2,120,INT,4,1526344338.27162,3082,0.01005,0.01005,0,0.01005,0.01005,0.01005,2,0,120,0,99.502487,99.502487,0,1649,740,21,6,200009,4,4.12964,0.00666635,3,14,199.293,199.263,6,15,0,Normal,Normal
3576905,1526344338.26158,e,1,udp,3,192.168.100.150,8612,192.168.100.255,8610,2,120,INT,4,1526344338.27163,3083,0.010045,0.010045,0,0.010045,0.010045,0.010045,2,0,120,0,99.55201,99.55201,0,1649,740,21,6,200009,4,4.12964,0.00666635,3,14,199.293,199.322,6,15,0,Normal,Normal
